Attack,Host,Run,Mode,CPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,CPU Usage Idle (%),CPU Usage System (%),CPU Usage User (%),CPU Usage Wait %,Disk mmcblk0 Block Size (Ko),Disk mmcblk0 Read (Ko/s),Disk mmcblk0 Transfers,Disk mmcblk0 Usage (%),Disk mmcblk0 Write (Ko/s),Disk mmcblk0p1 Block Size (Ko),Disk mmcblk0p1 Read (Ko/s),Disk mmcblk0p1 Transfers,Disk mmcblk0p1 Usage (%),Disk mmcblk0p1 Write (Ko/s),Disk mmcblk0p2 Block Size (Ko),Disk mmcblk0p2 Read (Ko/s),Disk mmcblk0p2 Transfers,Disk mmcblk0p2 Usage (%),Disk mmcblk0p2 Write (Ko/s),JFS boot/firmware Usage (%),JFS dev Usage (%),JFS run Usage (%),JFS Usage (%),Memory Active (Mo),Memory Buffers (Mo),Memory Cached (Mo),Memory Free (Mo),Memory Inactive (Mo),Memory Total (Mo),Network eth0 Received (Ko/s),Network eth0 Sent (Ko/s),Network lo Received (Ko/s),Network lo Sent (Ko/s),Network wlan0 Received (Ko/s),Network wlan0 Sent (Ko/s),Network Packet eth0 Received,Network Packet eth0 Sent,Network Packet lo Received,Network Packet lo Sent,Network Packet wlan0 Received,Network Packet wlan0 Sent,Process Execs,Process Forks,Process Switches,Processes Blocked,Processes Runnable,Swap Free (Mo),Swap Usage (Mo)
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,4.900000000000006,5.695500633713557,Denial of Service,nmon,14:21:20.000,95.1,2.9,0.8,1.2,60.9,1996.2,33.2,6.5,22.6,0.0,0.0,0.0,0.0,0.0,60.9,1996.2,33.2,7.3,22.6,28.0,0.0,0.2,8.5,48.3,11.4,83.5,3571.5,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.5,5.703422053231943,Denial of Service,nmon,14:21:21.000,99.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.3,11.4,83.5,3571.2,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,88.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.70870299957752,Denial of Service,nmon,14:21:22.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.3,11.4,83.5,3571.0,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,86.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.0,5.716624419095906,Denial of Service,nmon,14:21:23.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.3,11.4,83.5,3570.7,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,84.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.7000000000000028,5.721905365441482,Denial of Service,nmon,14:21:24.000,99.3,0.5,0.0,0.2,48.0,0.0,2.0,1.0,95.8,0.0,0.0,0.0,0.0,0.0,48.0,0.0,2.0,0.0,95.8,28.0,0.0,0.2,8.5,48.3,11.4,83.5,3570.5,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,117.7,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.729826784959869,Denial of Service,nmon,14:21:25.000,99.8,0.2,0.0,0.0,6.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,12.0,28.0,0.0,0.2,8.5,48.3,11.4,83.5,3570.2,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,107.7,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.0,5.735107731305444,Denial of Service,nmon,14:21:26.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.3,11.4,83.5,3570.0,68.7,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,89.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.5,5.748310097169407,Denial of Service,nmon,14:21:27.000,99.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.3,11.4,83.5,3569.5,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,83.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.748310097169407,Denial of Service,nmon,14:21:28.000,99.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.3,11.4,83.5,3569.5,68.7,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,96.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.756231516687793,Denial of Service,nmon,14:21:29.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.3,11.4,83.5,3569.2,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,85.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.76151246303337,Denial of Service,nmon,14:21:30.000,99.8,0.2,0.0,0.0,12.0,0.0,2.0,0.0,23.9,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,23.9,28.0,0.0,0.2,8.5,48.3,11.4,83.5,3569.0,68.7,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,102.6,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.766793409378956,Denial of Service,nmon,14:21:31.000,99.8,0.2,0.0,0.0,4.0,0.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,12.0,28.0,0.0,0.2,8.5,48.3,11.4,83.5,3568.8,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,108.7,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.5,5.77735530207012,Denial of Service,nmon,14:21:32.000,99.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.3,11.4,83.5,3568.4,68.7,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,96.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.0,5.77735530207012,Denial of Service,nmon,14:21:33.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.3,11.4,83.5,3568.4,68.9,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,83.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.5,5.779995775242918,Denial of Service,nmon,14:21:34.000,99.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.3,11.4,83.5,3568.3,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,102.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.779995775242918,Denial of Service,nmon,14:21:35.000,99.8,0.0,0.0,0.2,12.0,0.0,2.0,1.0,23.9,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,23.9,28.0,0.0,0.2,8.5,48.3,11.4,83.5,3568.3,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,101.6,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.790557667934082,Denial of Service,nmon,14:21:36.000,99.8,0.2,0.0,0.0,6.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,12.0,28.0,0.0,0.2,8.5,48.3,11.4,83.5,3567.9,68.7,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,127.7,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.793198141106881,Denial of Service,nmon,14:21:37.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.4,11.4,83.5,3567.8,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,83.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.7879171947612935,Denial of Service,nmon,14:21:38.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.4,11.4,83.5,3568.0,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,83.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.801119560625256,Denial of Service,nmon,14:21:39.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.4,11.4,83.5,3567.5,68.6,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,84.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.793198141106881,Denial of Service,nmon,14:21:40.000,99.8,0.2,0.0,0.0,12.0,0.0,2.0,0.0,23.9,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,23.9,28.0,0.0,0.2,8.5,48.4,11.4,83.5,3567.8,68.7,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,117.6,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.806400506970844,Denial of Service,nmon,14:21:41.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.4,11.4,83.5,3567.3,68.6,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,112.7,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.806400506970844,Denial of Service,nmon,14:21:42.000,99.8,0.2,0.0,0.0,4.0,0.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,12.0,28.0,0.0,0.2,8.5,48.4,11.4,83.5,3567.3,68.7,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,136.7,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.0,5.814321926489219,Denial of Service,nmon,14:21:43.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.4,11.4,83.5,3567.0,68.7,3787.2,0.0,-0.0,0.0,-0.0,0.1,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,124.7,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.814321926489219,Denial of Service,nmon,14:21:44.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.4,11.4,83.5,3567.0,68.7,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,92.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.5,5.819602872834806,Denial of Service,nmon,14:21:45.000,99.5,0.2,0.0,0.2,12.0,0.0,2.0,1.0,23.9,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,23.9,28.0,0.0,0.2,8.5,48.4,11.4,83.5,3566.8,68.7,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,111.6,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.5,5.819602872834806,Denial of Service,nmon,14:21:46.000,99.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.4,11.4,83.5,3566.8,68.7,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,103.7,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.827524292353181,Denial of Service,nmon,14:21:47.000,99.8,0.2,0.0,0.0,4.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,12.0,28.0,0.0,0.2,8.5,48.4,11.4,83.5,3566.5,68.7,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,105.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.827524292353181,Denial of Service,nmon,14:21:48.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.4,11.4,83.5,3566.5,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,114.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.827524292353181,Denial of Service,nmon,14:21:49.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.4,11.4,83.5,3566.5,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,91.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.827524292353181,Denial of Service,nmon,14:21:50.000,99.8,0.0,0.0,0.2,12.0,0.0,2.0,1.0,23.9,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,1.0,23.9,28.0,0.0,0.2,8.5,48.4,11.5,83.5,3566.5,68.9,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,109.6,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.827524292353181,Denial of Service,nmon,14:21:51.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.4,11.5,83.5,3566.5,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,82.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.0,5.832805238698768,Denial of Service,nmon,14:21:52.000,100.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,12.0,28.0,0.0,0.2,8.5,48.4,11.5,83.5,3566.3,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,96.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.5,5.827524292353181,Denial of Service,nmon,14:21:53.000,99.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.4,11.5,83.5,3566.5,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,89.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.0,5.832805238698768,Denial of Service,nmon,14:21:54.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,0.2,8.5,48.4,11.5,83.5,3566.3,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,86.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.7000000000000028,5.827524292353181,Denial of Service,nmon,14:21:55.000,99.3,0.2,0.0,0.5,5.4,0.0,22.9,2.0,123.5,0.0,0.0,0.0,0.0,0.0,5.4,0.0,22.9,2.0,123.5,28.0,0.0,0.2,8.5,48.4,11.5,83.5,3566.5,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,219.1,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.832805238698768,Denial of Service,nmon,14:21:56.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.4,11.5,83.5,3566.3,68.9,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.832805238698768,Denial of Service,nmon,14:21:57.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.4,11.5,83.5,3566.3,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,77.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.832805238698768,Denial of Service,nmon,14:21:58.000,99.8,0.2,0.0,0.0,6.0,0.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,12.0,28.0,0.0,0.2,8.5,48.4,11.5,83.5,3566.3,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,103.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.835445711871568,Denial of Service,nmon,14:21:59.000,99.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.4,11.5,83.5,3566.2,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,82.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.5,5.827524292353181,Denial of Service,nmon,14:22:00.000,99.5,0.5,0.0,0.0,18.0,0.0,2.0,0.0,35.8,0.0,0.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,35.8,28.0,0.0,0.2,8.5,48.4,11.5,83.5,3566.5,68.9,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,109.5,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.0,5.832805238698768,Denial of Service,nmon,14:22:01.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.4,11.5,83.5,3566.3,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,93.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.832805238698768,Denial of Service,nmon,14:22:02.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.4,11.5,83.5,3566.3,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,79.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.832805238698768,Denial of Service,nmon,14:22:03.000,99.8,0.2,0.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,8.0,28.0,0.0,0.2,8.5,48.4,11.5,83.5,3566.3,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,101.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.0,5.840726658217143,Denial of Service,nmon,14:22:04.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.4,11.5,83.5,3566.0,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,103.7,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.7000000000000028,5.832805238698768,Denial of Service,nmon,14:22:05.000,99.3,0.2,0.2,0.2,8.0,0.0,2.0,1.0,15.9,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,15.9,28.0,0.0,0.2,8.5,48.4,11.5,83.5,3566.3,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,98.6,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.840726658217143,Denial of Service,nmon,14:22:06.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.4,11.5,83.5,3566.0,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,104.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.846007604562731,Denial of Service,nmon,14:22:07.000,99.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.4,11.5,83.5,3565.8,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,81.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.843367131389943,Denial of Service,nmon,14:22:08.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,48.4,11.5,83.5,3565.9,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,93.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,5.846007604562731,Denial of Service,nmon,14:22:09.000,99.8,0.2,0.0,0.0,4.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,12.0,28.0,0.0,0.2,8.5,48.4,11.5,83.5,3565.8,68.9,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,97.8,0,1,0.0,0.0
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.0,5.846007604562731,Denial of Service,nmon,14:22:10.000,100.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,35.9,0.0,0.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,35.9,28.0,0.0,0.2,8.5,48.4,11.5,83.5,3565.8,68.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,96.8,0,1,0.0,0.0
